,epoch,tag,variable,value,training_time,sem_variant
5786,51.0,april_17_always_s1090_1E-01_5E+05,bi,0.4069144638775054,515.8589974320988,full
5797,101.0,april_17_always_s1090_1E-01_5E+05,bi,0.3895806927487524,1033.6255435555556,full
5808,21.0,april_17_always_s1090_1E-01_5E+05,bi,0.3980476532499893,217.90897308641976,full
5819,41.0,april_17_always_s1090_1E-01_5E+05,bi,0.3950169141887851,419.91400145679006,full
5830,91.0,april_17_always_s1090_1E-01_5E+05,bi,0.3836120201897695,923.0986329506175,full
5841,11.0,april_17_always_s1090_1E-01_5E+05,bi,0.4367554788434168,114.45198767901233,full
5852,1.0,april_17_always_s1090_1E-01_5E+05,bi,0.3431226544586983,9.992520481481481,full
5863,61.0,april_17_always_s1090_1E-01_5E+05,bi,0.4040605389744001,625.3894313086419,full
5874,31.0,april_17_always_s1090_1E-01_5E+05,bi,0.3720680647572529,318.0342232839506,full
5885,71.0,april_17_always_s1090_1E-01_5E+05,bi,0.3992666896224761,725.8009111234568,full
5896,81.0,april_17_always_s1090_1E-01_5E+05,bi,0.3981339903609362,826.7978039259258,full
5907,81.0,april_17_always_s1140_1E-01_5E+05,bi,0.394287817519288,826.7978039259258,full
5918,41.0,april_17_always_s1140_1E-01_5E+05,bi,0.4349400232500692,419.91400145679006,full
5929,31.0,april_17_always_s1140_1E-01_5E+05,bi,0.3874941412956237,318.0342232839506,full
5940,1.0,april_17_always_s1140_1E-01_5E+05,bi,0.3709674222950226,9.992520481481481,full
5951,71.0,april_17_always_s1140_1E-01_5E+05,bi,0.4078247625162101,725.8009111234568,full
5962,61.0,april_17_always_s1140_1E-01_5E+05,bi,0.4046366867895975,625.3894313086419,full
5973,21.0,april_17_always_s1140_1E-01_5E+05,bi,0.4216748358444503,217.90897308641976,full
5984,101.0,april_17_always_s1140_1E-01_5E+05,bi,0.4084769630894889,1033.6255435555556,full
5995,51.0,april_17_always_s1140_1E-01_5E+05,bi,0.4110715603907799,515.8589974320988,full
6006,91.0,april_17_always_s1140_1E-01_5E+05,bi,0.4057130533964648,923.0986329506175,full
6017,11.0,april_17_always_s1140_1E-01_5E+05,bi,0.4156000495479489,114.45198767901233,full
6028,31.0,april_17_always_s1120_1E-01_5E+05,bi,0.3945123817258105,318.0342232839506,full
6039,101.0,april_17_always_s1120_1E-01_5E+05,bi,0.3955890996944118,1033.6255435555556,full
6050,81.0,april_17_always_s1120_1E-01_5E+05,bi,0.4231998585700082,826.7978039259258,full
6061,91.0,april_17_always_s1120_1E-01_5E+05,bi,0.3969831878688281,923.0986329506175,full
6072,11.0,april_17_always_s1120_1E-01_5E+05,bi,0.3803914452383782,114.45198767901233,full
