,epoch,tag,variable,value,training_time,sem_variant
5786,51,april_17_always_s1090_1E-01_5E+05,mi,0.4690208373806286,515.8589974320988,full
5797,101,april_17_always_s1090_1E-01_5E+05,mi,0.4771406238353187,1033.6255435555556,full
5808,21,april_17_always_s1090_1E-01_5E+05,mi,0.4621511321135446,217.90897308641976,full
5819,41,april_17_always_s1090_1E-01_5E+05,mi,0.4803392743031939,419.91400145679006,full
5830,91,april_17_always_s1090_1E-01_5E+05,mi,0.4947492556456692,923.0986329506175,full
5841,11,april_17_always_s1090_1E-01_5E+05,mi,0.2982268395624735,114.45198767901233,full
5852,1,april_17_always_s1090_1E-01_5E+05,mi,0.2698170917147545,9.992520481481481,full
5863,61,april_17_always_s1090_1E-01_5E+05,mi,0.4982199419474816,625.3894313086419,full
5874,31,april_17_always_s1090_1E-01_5E+05,mi,0.4882586239024506,318.0342232839506,full
5885,71,april_17_always_s1090_1E-01_5E+05,mi,0.5065599004103888,725.8009111234568,full
5896,81,april_17_always_s1090_1E-01_5E+05,mi,0.4904447902548072,826.7978039259258,full
5907,81,april_17_always_s1140_1E-01_5E+05,mi,0.4684512025565506,826.7978039259258,full
5918,41,april_17_always_s1140_1E-01_5E+05,mi,0.4328178275753396,419.91400145679006,full
5929,31,april_17_always_s1140_1E-01_5E+05,mi,0.3862842799723228,318.0342232839506,full
5940,1,april_17_always_s1140_1E-01_5E+05,mi,0.2074006089624221,9.992520481481481,full
5951,71,april_17_always_s1140_1E-01_5E+05,mi,0.4661145604461545,725.8009111234568,full
5962,61,april_17_always_s1140_1E-01_5E+05,mi,0.4801993857370634,625.3894313086419,full
5973,21,april_17_always_s1140_1E-01_5E+05,mi,0.3617857565466065,217.90897308641976,full
5984,101,april_17_always_s1140_1E-01_5E+05,mi,0.4707831791080928,1033.6255435555556,full
5995,51,april_17_always_s1140_1E-01_5E+05,mi,0.4864237214927573,515.8589974320988,full
6006,91,april_17_always_s1140_1E-01_5E+05,mi,0.4773643635814336,923.0986329506175,full
6017,11,april_17_always_s1140_1E-01_5E+05,mi,0.329861135225238,114.45198767901233,full
6028,31,april_17_always_s1120_1E-01_5E+05,mi,0.4720512457237466,318.0342232839506,full
6039,101,april_17_always_s1120_1E-01_5E+05,mi,0.5014691673283148,1033.6255435555556,full
6050,81,april_17_always_s1120_1E-01_5E+05,mi,0.5073080465164248,826.7978039259258,full
6061,91,april_17_always_s1120_1E-01_5E+05,mi,0.4938597638473509,923.0986329506175,full
6072,11,april_17_always_s1120_1E-01_5E+05,mi,0.46459904737974,114.45198767901233,full
6083,1,april_17_always_s1120_1E-01_5E+05,mi,0.1563396592681007,9.992520481481481,full
6094,21,april_17_always_s1120_1E-01_5E+05,mi,0.4668165151423669,217.90897308641976,full
6105,71,april_17_always_s1120_1E-01_5E+05,mi,0.5008568703951628,725.8009111234568,full
6116,41,april_17_always_s1120_1E-01_5E+05,mi,0.484327512446817,419.91400145679006,full
6127,51,april_17_always_s1120_1E-01_5E+05,mi,0.4592514702107476,515.8589974320988,full
6138,61,april_17_always_s1120_1E-01_5E+05,mi,0.5052011207955825,625.3894313086419,full
6149,81,april_17_always_s1020_1E-01_5E+05,mi,0.4940253532142137,826.7978039259258,full
6160,51,april_17_always_s1020_1E-01_5E+05,mi,0.5001676453227037,515.8589974320988,full
6171,1,april_17_always_s1020_1E-01_5E+05,mi,0.2815480258615025,9.992520481481481,full
6182,41,april_17_always_s1020_1E-01_5E+05,mi,0.4948428588270415,419.91400145679006,full
6193,91,april_17_always_s1020_1E-01_5E+05,mi,0.5045270164664029,923.0986329506175,full
6204,11,april_17_always_s1020_1E-01_5E+05,mi,0.4423708605501976,114.45198767901233,full
6215,71,april_17_always_s1020_1E-01_5E+05,mi,0.4946040917271977,725.8009111234568,full
6226,61,april_17_always_s1020_1E-01_5E+05,mi,0.4974333685337683,625.3894313086419,full
6237,101,april_17_always_s1020_1E-01_5E+05,mi,0.505341724263889,1033.6255435555556,full
6248,21,april_17_always_s1020_1E-01_5E+05,mi,0.4617042116874321,217.90897308641976,full
6259,31,april_17_always_s1020_1E-01_5E+05,mi,0.4754278597136288,318.0342232839506,full
6270,41,april_17_always_s1070_1E-01_5E+05,mi,0.4586228591783612,419.91400145679006,full
6281,61,april_17_always_s1070_1E-01_5E+05,mi,0.4712563811225856,625.3894313086419,full
6292,51,april_17_always_s1070_1E-01_5E+05,mi,0.4406073432772491,515.8589974320988,full
6303,31,april_17_always_s1070_1E-01_5E+05,mi,0.4438980920484257,318.0342232839506,full
6314,91,april_17_always_s1070_1E-01_5E+05,mi,0.4498897332923281,923.0986329506175,full
6325,71,april_17_always_s1070_1E-01_5E+05,mi,0.4552901488471058,725.8009111234568,full
6336,1,april_17_always_s1070_1E-01_5E+05,mi,0.1639983562560293,9.992520481481481,full
6347,21,april_17_always_s1070_1E-01_5E+05,mi,0.4502031832140045,217.90897308641976,full
6358,11,april_17_always_s1070_1E-01_5E+05,mi,0.3794242529537888,114.45198767901233,full
6369,81,april_17_always_s1070_1E-01_5E+05,mi,0.4587254564277143,826.7978039259258,full
6380,101,april_17_always_s1070_1E-01_5E+05,mi,0.4619629683541514,1033.6255435555556,full
6391,71,april_17_always_s1030_1E-01_5E+05,mi,0.4822394565035774,725.8009111234568,full
6402,31,april_17_always_s1030_1E-01_5E+05,mi,0.4814723972168817,318.0342232839506,full
6413,21,april_17_always_s1030_1E-01_5E+05,mi,0.479204632985862,217.90897308641976,full
6424,81,april_17_always_s1030_1E-01_5E+05,mi,0.4794555748533557,826.7978039259258,full
6435,51,april_17_always_s1030_1E-01_5E+05,mi,0.477474654077087,515.8589974320988,full
6446,91,april_17_always_s1030_1E-01_5E+05,mi,0.4884271519491997,923.0986329506175,full
6457,101,april_17_always_s1030_1E-01_5E+05,mi,0.492097294178244,1033.6255435555556,full
6468,61,april_17_always_s1030_1E-01_5E+05,mi,0.5038608176006455,625.3894313086419,full
6479,1,april_17_always_s1030_1E-01_5E+05,mi,0.2475856180773923,9.992520481481481,full
6490,41,april_17_always_s1030_1E-01_5E+05,mi,0.4858812743393087,419.91400145679006,full
6501,11,april_17_always_s1030_1E-01_5E+05,mi,0.4482585261748455,114.45198767901233,full
6512,1,april_17_always_s1110_1E-01_5E+05,mi,0.2650567289201881,9.992520481481481,full
6523,81,april_17_always_s1110_1E-01_5E+05,mi,0.4970664299224594,826.7978039259258,full
6534,41,april_17_always_s1110_1E-01_5E+05,mi,0.4679871346661778,419.91400145679006,full
6545,91,april_17_always_s1110_1E-01_5E+05,mi,0.4834742802828857,923.0986329506175,full
6556,71,april_17_always_s1110_1E-01_5E+05,mi,0.4929723243276189,725.8009111234568,full
6567,21,april_17_always_s1110_1E-01_5E+05,mi,0.4362434380801394,217.90897308641976,full
6578,31,april_17_always_s1110_1E-01_5E+05,mi,0.4628496151746817,318.0342232839506,full
6589,11,april_17_always_s1110_1E-01_5E+05,mi,0.366893365526446,114.45198767901233,full
6600,51,april_17_always_s1110_1E-01_5E+05,mi,0.484143907913312,515.8589974320988,full
6611,61,april_17_always_s1110_1E-01_5E+05,mi,0.4894263909771471,625.3894313086419,full
6622,101,april_17_always_s1110_1E-01_5E+05,mi,0.4937071962114666,1033.6255435555556,full
6633,101,april_17_always_s1100_1E-01_5E+05,mi,0.5226797190045467,1033.6255435555556,full
6644,51,april_17_always_s1100_1E-01_5E+05,mi,0.5270826510725248,515.8589974320988,full
6655,31,april_17_always_s1100_1E-01_5E+05,mi,0.5090976129973742,318.0342232839506,full
6666,1,april_17_always_s1100_1E-01_5E+05,mi,0.225337959199782,9.992520481481481,full
6677,71,april_17_always_s1100_1E-01_5E+05,mi,0.5191424861696766,725.8009111234568,full
6688,81,april_17_always_s1100_1E-01_5E+05,mi,0.5217220672804036,826.7978039259258,full
6699,21,april_17_always_s1100_1E-01_5E+05,mi,0.5062901886083174,217.90897308641976,full
6710,11,april_17_always_s1100_1E-01_5E+05,mi,0.493762187756823,114.45198767901233,full
6721,61,april_17_always_s1100_1E-01_5E+05,mi,0.5249853082785686,625.3894313086419,full
6732,41,april_17_always_s1100_1E-01_5E+05,mi,0.4793779341322942,419.91400145679006,full
6743,91,april_17_always_s1100_1E-01_5E+05,mi,0.5258712164707664,923.0986329506175,full
20702,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,515.8589974320988,full
20703,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2256334899497453,515.8589974320988,full
20704,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.224543723652741,515.8589974320988,full
20705,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2251297533501629,515.8589974320988,full
20706,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2402249626908818,515.8589974320988,full
20707,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2314674524690881,515.8589974320988,full
20708,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2325873075374155,515.8589974320988,full
20709,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2265997885256921,515.8589974320988,full
20710,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2263880181716598,515.8589974320988,full
20711,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2183375524547366,515.8589974320988,full
20712,51,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2222693506523806,515.8589974320988,full
20713,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,1033.6255435555556,full
